,country,population,cases,deaths,day
0,MS-Zaandam,,"{'new': None, 'active': 0, 'critical': None, 'recovered': 7, '1M_pop': None, 'total': 9}","{'new': None, '1M_pop': None, 'total': 2}",2024-09-28
1,China,1448471400.0,"{'new': None, 'active': 118977, 'critical': None, 'recovered': 379053, '1M_pop': '347', 'total': 503302}","{'new': None, '1M_pop': '4', 'total': 5272}",2024-09-28
2,Saint-Helena,6115.0,"{'new': None, 'active': 2164, 'critical': None, 'recovered': 2, '1M_pop': '354211', 'total': 2166}","{'new': None, '1M_pop': None, 'total': None}",2024-09-28
3,Falkland-Islands,3539.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 1930, '1M_pop': '545352', 'total': 1930}","{'new': None, '1M_pop': None, 'total': None}",2024-09-28
4,Montserrat,4965.0,"{'new': None, 'active': 19, 'critical': None, 'recovered': 1376, '1M_pop': '282578', 'total': 1403}","{'new': None, '1M_pop': '1611', 'total': 8}",2024-09-28
5,Diamond-Princess,,"{'new': None, 'active': 0, 'critical': None, 'recovered': 699, '1M_pop': None, 'total': 712}","{'new': None, '1M_pop': None, 'total': 13}",2024-09-28
6,Vatican-City,799.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 29, '1M_pop': '36295', 'total': 29}","{'new': None, '1M_pop': None, 'total': None}",2024-09-28
7,Western-Sahara,626161.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 9, '1M_pop': '16', 'total': 10}","{'new': None, '1M_pop': '2', 'total': 1}",2024-09-28
8,Tokelau,1378.0,"{'new': None, 'active': 80, 'critical': None, 'recovered': None, '1M_pop': '58055', 'total': 80}","{'new': None, '1M_pop': None, 'total': None}",2024-09-28
9,Saint-Pierre-Miquelon,5759.0,"{'new': None, 'active': 1001, 'critical': None, 'recovered': 2449, '1M_pop': '599410', 'total': 3452}","{'new': None, '1M_pop': '347', 'total': 2}",2024-09-28
10,Tuvalu,12066.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '243909', 'total': 2943}","{'new': None, '1M_pop': '83', 'total': 1}",2024-09-28
11,Niue,1622.0,"{'new': None, 'active': 3, 'critical': None, 'recovered': 1056, '1M_pop': '652898', 'total': 1059}","{'new': None, '1M_pop': None, 'total': None}",2024-09-28
12,Nauru,10903.0,"{'new': None, 'active': 45, 'critical': None, 'recovered': 5347, '1M_pop': '494635', 'total': 5393}","{'new': None, '1M_pop': '92', 'total': 1}",2024-09-28
13,Wallis-and-Futuna,10982.0,"{'new': None, 'active': 3104, 'critical': None, 'recovered': 438, '1M_pop': '323256', 'total': 3550}","{'new': None, '1M_pop': '728', 'total': 8}",2024-09-28
14,St-Barth,9945.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '553746', 'total': 5507}","{'new': None, '1M_pop': '603', 'total': 6}",2024-09-28
15,Saint-Kitts-and-Nevis,53871.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 6559, '1M_pop': '122645', 'total': 6607}","{'new': None, '1M_pop': '891', 'total': 48}",2024-09-28
16,Kiribati,123419.0,"{'new': None, 'active': 2358, 'critical': 3, 'recovered': 2703, '1M_pop': '41201', 'total': 5085}","{'new': None, '1M_pop': '194', 'total': 24}",2024-09-28
17,Turks-and-Caicos,39741.0,"{'new': None, 'active': 3, 'critical': 4, 'recovered': 6709, '1M_pop': '169900', 'total': 6752}","{'new': None, '1M_pop': '1007', 'total': 40}",2024-09-28
18,Palau,18233.0,"{'new': None, 'active': 4, 'critical': None, 'recovered': 6276, '1M_pop': '344979', 'total': 6290}","{'new': None, '1M_pop': '548', 'total': 10}",2024-09-28
19,Anguilla,15230.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '256336', 'total': 3904}","{'new': None, '1M_pop': '788', 'total': 12}",2024-09-28
20,Liberia,5305117.0,"{'new': None, 'active': 12, 'critical': 2, 'recovered': 7783, '1M_pop': '1525', 'total': 8090}","{'new': None, '1M_pop': '56', 'total': 295}",2024-09-28
21,Chad,17413580.0,"{'new': None, 'active': 2633, 'critical': None, 'recovered': 4874, '1M_pop': '442', 'total': 7701}","{'new': None, '1M_pop': '11', 'total': 194}",2024-09-28
22,Sierra-Leone,8306436.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '937', 'total': 7779}","{'new': None, '1M_pop': '15', 'total': 126}",2024-09-28
23,British-Virgin-Islands,30596.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '241600', 'total': 7392}","{'new': None, '1M_pop': '2092', 'total': 64}",2024-09-28
24,Cook-Islands,17571.0,"{'new': None, 'active': 51, 'critical': None, 'recovered': 7150, '1M_pop': '409937', 'total': 7203}","{'new': None, '1M_pop': '114', 'total': 2}",2024-09-28
25,Sao-Tome-and-Principe,227679.0,"{'new': None, 'active': 13, 'critical': None, 'recovered': 6685, '1M_pop': '29770', 'total': 6778}","{'new': None, '1M_pop': '351', 'total': 80}",2024-09-28
26,Eritrea,3662244.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 10086, '1M_pop': '2782', 'total': 10189}","{'new': None, '1M_pop': '28', 'total': 103}",2024-09-28
27,Niger,26083660.0,"{'new': None, 'active': 729, 'critical': 1, 'recovered': 8890, '1M_pop': '381', 'total': 9931}","{'new': None, '1M_pop': '12', 'total': 312}",2024-09-28
28,Caribbean-Netherlands,26647.0,"{'new': '+3', 'active': 1168, 'critical': None, 'recovered': 10476, '1M_pop': '438398', 'total': 11682}","{'new': None, '1M_pop': '1426', 'total': 38}",2024-09-28
29,Comoros,907419.0,"{'new': None, 'active': 9, 'critical': None, 'recovered': 8939, '1M_pop': '10038', 'total': 9109}","{'new': None, '1M_pop': '177', 'total': 161}",2024-09-28
30,Guinea-Bissau,2063367.0,"{'new': None, 'active': 508, 'critical': 6, 'recovered': 8929, '1M_pop': '4659', 'total': 9614}","{'new': None, '1M_pop': '86', 'total': 177}",2024-09-28
31,Sint-Maarten,43966.0,"{'new': None, 'active': 54, 'critical': None, 'recovered': 10905, '1M_pop': '251353', 'total': 11051}","{'new': None, '1M_pop': '2093', 'total': 92}",2024-09-28
32,Yemen,31154867.0,"{'new': None, 'active': 662, 'critical': None, 'recovered': 9124, '1M_pop': '383', 'total': 11945}","{'new': None, '1M_pop': '69', 'total': 2159}",2024-09-28
33,St-Vincent-Grenadines,111551.0,"{'new': None, 'active': 57, 'critical': None, 'recovered': 9493, '1M_pop': '86723', 'total': 9674}","{'new': None, '1M_pop': '1112', 'total': 124}",2024-09-28
34,Antigua-and-Barbuda,99509.0,"{'new': None, 'active': 6, 'critical': None, 'recovered': 8954, '1M_pop': '91509', 'total': 9106}","{'new': None, '1M_pop': '1467', 'total': 146}",2024-09-28
